id,host_id_fk,listings_group
OPE1926395573,56130818,Single-listing Hosts
BUT9633885724,62689365,2-3 listing Hosts
BUT7508314584,85755742,Single-listing Hosts
BUT2157161678,95476053,Single-listing Hosts
BAT3445673973,94875632,Single-listing Hosts
ENT3005591266,7840503,Single-listing Hosts
HOT6420929857,85790000,Single-listing Hosts
BAT9600843545,25188356,Single-listing Hosts
PAN5414653949,45636438,Single-listing Hosts
MEN2299438387,67836858,Single-listing Hosts
MEN3219987698,22708501,Single-listing Hosts
HOT0017582682,86615267,Single-listing Hosts
PAN4514750096,53664175,Single-listing Hosts
REU9079397156,89314664,Single-listing Hosts
OPE4298301018,61438039,Single-listing Hosts
VAU7635603163,36993697,Single-listing Hosts
GOB1845636414,20372970,Single-listing Hosts
BUT5875457336,57716988,Single-listing Hosts
OBS9261112096,68745755,Single-listing Hosts
BOU7367291768,14390954,2-3 listing Hosts
POP5336941826,13544946,Single-listing Hosts
BUT2913756458,42129058,Single-listing Hosts
BUT9512093174,40029508,Single-listing Hosts
REU2162035840,27417314,2-3 listing Hosts
HOT8989889356,66361255,Single-listing Hosts
BUT0280231318,18975942,Single-listing Hosts
GOB8675274204,915552,Single-listing Hosts
POP1831283030,72223236,Single-listing Hosts
HOT4929491536,92143314,Single-listing Hosts
ENT3289641206,33874907,Single-listing Hosts
POP3996525299,17119897,Single-listing Hosts
BUT3792316308,56443383,2-3 listing Hosts
OBS9349816797,2282161,2-3 listing Hosts
GOB6243544218,77807174,Single-listing Hosts
VAU8722840486,66462803,Single-listing Hosts
BUT2708527736,46552619,Single-listing Hosts
OBS0601519695,79762886,2-3 listing Hosts
TEM9051733261,91992605,Single-listing Hosts
OPE0186292934,92277841,2-3 listing Hosts
BUT4628017600,24672979,Single-listing Hosts
BUT5555135287,76428638,2-3 listing Hosts
BUT2373710063,62689365,2-3 listing Hosts
BUT2241750298,24663125,Single-listing Hosts
HOT0492065251,55122739,Single-listing Hosts
MEN6297638962,22557602,Single-listing Hosts
ENT3135072066,41669195,10+ listing Hosts
REU4710111221,80916338,Single-listing Hosts
MEN4313432515,2342885,Single-listing Hosts
ENT3361295118,42431744,Single-listing Hosts
POP5914665707,26195910,Single-listing Hosts
OPE8488527513,74796585,Single-listing Hosts
ENT2587804448,9715499,Single-listing Hosts
POP0811432455,54685998,Single-listing Hosts
MEN7704009669,78644993,2-3 listing Hosts
PAN6418569089,80462163,2-3 listing Hosts
VAU1820652186,25537896,Single-listing Hosts
REU6928708526,98224934,Single-listing Hosts
HOT6136139772,68531984,Single-listing Hosts
HOT1015937895,23671092,Single-listing Hosts
BUT9020304652,4258245,Single-listing Hosts
PAN1303332449,58248776,Single-listing Hosts
MEN2324890155,27674924,2-3 listing Hosts
PAN4005872693,42261792,Single-listing Hosts
PAL6664065647,51298018,Single-listing Hosts
PAL8262932583,89613966,2-3 listing Hosts
TEM7451320275,30579411,Single-listing Hosts
OPE1723010194,87530929,Single-listing Hosts
OPE5541255880,59932932,Single-listing Hosts
MEN4966708200,36681389,Single-listing Hosts
VAU0065543918,15617451,2-3 listing Hosts
POP5008265528,890673,Single-listing Hosts
OPE3076733990,59726638,2-3 listing Hosts
LUX1445482665,7039250,2-3 listing Hosts
OBS3811628889,89699857,2-3 listing Hosts
LUX5613763732,18090478,Single-listing Hosts
HOT8227788673,29747685,Single-listing Hosts
PAS4454925443,93590355,2-3 listing Hosts
LOU9877012494,35848598,2-3 listing Hosts
POP5027571295,11952010,Single-listing Hosts
MEN2414053325,76314128,Single-listing Hosts
LOU8216068771,55353192,Single-listing Hosts
HOT0066476915,94116946,2-3 listing Hosts
OPE9874081002,17943330,Single-listing Hosts
TEM7168004775,52726456,Single-listing Hosts
TEM5786457312,94685792,2-3 listing Hosts
POP9370825765,16807325,Single-listing Hosts
REU3441525613,12185875,Single-listing Hosts
GOB0621523678,98978129,Single-listing Hosts
MEN4212914414,66291423,Single-listing Hosts
LOU8165454268,35848598,2-3 listing Hosts
BAT6891917302,48183213,Single-listing Hosts
MEN4672804917,93842276,Single-listing Hosts
POP3386928499,72183750,Single-listing Hosts
TEM2260556924,75088847,Single-listing Hosts
VAU1672073452,46619327,Single-listing Hosts
POP3252005104,33702568,Single-listing Hosts
TEM0150788105,29338812,Single-listing Hosts
OBS8205469030,30445055,2-3 listing Hosts
POP1095629216,19632425,Single-listing Hosts
HOT6110983291,76442971,Single-listing Hosts
